INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../hls/test/testbench_hls.cpp in debug mode
   Compiling ../../../../../hls/pipeline_core_hls.cpp in debug mode
   Generating csim.exe
---Starting Pipeline Simulation (HLS-oriented core)---
Cycle: 1 | PC: 4 | Stall: NO | x3: 0 | x5: 0 | x6: 0 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 2 | PC: 8 | Stall: NO | x3: 0 | x5: 0 | x6: 0 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 3 | PC: 12 | Stall: NO | x3: 0 | x5: 0 | x6: 0 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 4 | PC: 16 | Stall: NO | x3: 0 | x5: 0 | x6: 0 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 5 | PC: 20 | Stall: NO | x3: 30 | x5: 0 | x6: 0 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 6 | PC: 24 | Stall: NO | x3: 30 | x5: 35 | x6: 0 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 7 | PC: 28 | Stall: NO | x3: 30 | x5: 35 | x6: 110 | x7: 0 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 8 | PC: 32 | Stall: NO | x3: 30 | x5: 35 | x6: 110 | x7: 25 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 9 | PC: 36 | Stall: NO | x3: 30 | x5: 35 | x6: 110 | x7: 25 | x8: 0 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 10 | PC: 40 | Stall: NO | x3: 30 | x5: 35 | x6: 110 | x7: 25 | x8: 110 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
Cycle: 11 | PC: 44 | Stall: NO | x3: 30 | x5: 35 | x6: 110 | x7: 25 | x8: 110 | x9: 0 | x10: 0 | x11: 0 | x12: 0 | x13: 0 | x17: 0 | x19: 0 | x20: 0 | x21: 0 | x22: 0
