cycle,pc,stall,forward_A_sel,forward_B_sel,hazard_dest
1,4,0,0,0,-1
2,8,0,0,0,-1
3,12,0,0,0,-1
4,16,0,0,0,-1
5,20,0,0,0,-1
6,24,0,0,0,-1
7,28,0,0,0,-1
8,32,0,0,0,-1
9,36,0,0,0,-1
10,40,0,0,0,-1
11,44,0,0,0,-1
12,48,0,0,0,-1
13,52,0,0,0,-1
14,56,0,0,0,-1
15,60,0,0,0,-1
16,64,0,0,0,-1
17,68,0,0,0,-1
18,72,0,0,0,-1
19,76,0,0,0,-1
20,80,0,0,0,-1
21,84,0,0,0,-1
22,88,0,0,0,-1
23,92,0,0,0,-1
24,96,0,0,0,-1
25,100,0,0,0,-1
26,104,0,0,0,-1
27,108,0,0,0,-1
28,112,0,0,0,-1
29,116,0,0,0,-1
30,120,0,0,0,-1
